system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
00000000000000000049,12.0,111.0,8.0,20.0,0.2165324836969375,2275.0,182.0,0.5395985942108318,75,63.0,15.502593498729144,145.05962492409896,-0.0341728670687365,675.6979166666666,305.0,10,2010,,-199.01041666666663,87.97916666666667,0.2003571987152099,881.7604166666666,228.28125,91.22916666666669,"{""type"":""Point"",""coordinates"":[115.99932680950533,-32.6273761810951]}",0.35135382,0.5126642,0.11944303,Archetype_2
0000000000000000004a,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,76,69.0,18.60430007375502,270.0,-0.0466314707970256,697.1979166666666,274.0,10,2010,,-197.23958333333331,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666669,"{""type"":""Point"",""coordinates"":[115.99563467383308,-32.61816813741973]}",0.06434853,0.7214396,0.26328316,Archetype_2
0000000000000000004b,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,77,69.0,18.60430007375502,270.0,-0.0466314707970256,697.1979166666666,274.0,10,2010,,-197.23958333333331,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666669,"{""type"":""Point"",""coordinates"":[115.99482757654245,-32.60119233970926]}",0.06434853,0.7214396,0.26328316,Archetype_2
0000000000000000004c,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,78,69.0,18.60430007375502,270.0,-0.0466314707970256,697.1979166666666,274.0,10,2010,,-197.23958333333331,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666669,"{""type"":""Point"",""coordinates"":[115.9972622457176,-32.59949342220791]}",0.06434853,0.7214396,0.26328316,Archetype_2
000000000000000000da,12.0,108.0,7.0,17.0,0.2738938927650451,2336.0,192.0,0.5271974708046847,239,69.0,14.654867719437467,235.3780715115356,-0.012367256088425,745.15625,331.0,10,2010,,-171.23958333333334,63.552083333333336,0.5441337823867798,575.46875,228.64583333333331,92.75,"{""type"":""Point"",""coordinates"":[116.29651697651543,-32.70621754682108]}",0.095635645,0.49990764,0.21127479,Archetype_2
000000000000000000db,12.0,108.0,7.0,17.0,0.2738938927650451,2336.0,192.0,0.5271974708046847,240,69.0,14.654867719437467,235.3780715115356,-0.012367256088425,745.15625,331.0,10,2010,,-171.23958333333334,63.552083333333336,0.5441337823867798,575.46875,228.64583333333331,92.75,"{""type"":""Point"",""coordinates"":[116.29286943185367,-32.706922084787514]}",0.095635645,0.49990764,0.21127479,Archetype_2
000000000000000000e0,8.0,140.0,1.0,27.0,0.0176574885845184,2481.0,363.0,0.1307179689208277,245,64.0,16.784074722053393,128.09712778585046,0.005098711702568,1258.5208333333333,264.0,10,2003,,23.375,32.71875,0.1096107885241508,21.4375,296.4375,201.91666666666663,"{""type"":""Point"",""coordinates"":[144.5800018980825,-26.354999520669665]}",0.94918066,0.053561017,0.038842123,Archetype_1
000000000000000000e4,12.0,142.0,2.0,17.0,0.6061564087867737,2443.0,216.0,0.1525709529017936,250,75.0,16.26126713188736,242.97985369975865,-0.0167840097785934,1050.5,330.0,10,2002,,-135.21875,25.61458333333333,0.4253183603286743,57.46875,236.1875,109.22916666666669,"{""type"":""Point"",""coordinates"":[117.87629621593231,-32.73249948843008]}",0.06580884,0.92104316,0.02205381,Archetype_2
000000000000000000e6,12.0,121.0,6.0,16.0,0.1348600089550018,2498.0,206.0,0.3289485589046625,253,73.0,15.32813511963434,234.77095666846495,-0.0332286396819673,942.46875,353.0,10,2002,,-90.04166666666667,37.802083333333336,0.3517159521579742,167.26041666666666,230.25,102.92708333333331,"{""type"":""Point"",""coordinates"":[116.89369762599708,-32.78270004808977]}",0.16669267,0.9254911,0.01091883,Archetype_2
000000000000000000ea,12.0,145.0,3.0,20.0,0.354225218296051,2478.0,210.0,0.220835377889127,261,69.0,16.629817729024264,4.315117571653194,-0.0564851020554947,944.53125,294.0,10,2002,,-85.84375,36.6875,0.6103731393814087,154.45833333333334,230.91666666666663,103.96875,"{""type"":""Point"",""coordinates"":[116.95430126841448,-32.71930054931188]}",0.07790437,0.96212643,0.020024372,Archetype_2
000000000000000000eb,12.0,136.0,4.0,20.0,0.3782478272914886,2526.0,219.0,0.274136634939857,262,68.0,16.18344356497872,232.0966422454373,-0.0336688825902776,972.4375,350.0,10,2002,,-102.73958333333331,36.66666666666666,0.3774336874485016,151.27083333333334,235.01041666666663,107.625,"{""type"":""Point"",""coordinates"":[116.87370301687345,-32.506302669291934]}",0.08226576,0.96305615,0.008671533,Archetype_2
