Ref_ID,Year,driver_class,esa_lc_2021,event_start,VOD_CKXU,gfc_lossyear
59,1987,,10,2010,,24
60,1987,,10,2010,,24
801,1987,3,10,2010,,12
62,1987,4,10,2010,0.46193303,17
246,1987,4,10,2006,1.143123621,6
408,1987,4,10,1999,1.08121718,10
410,1987,4,10,1999,1.08121718,8
1219,1987,4,10,1978,1.086776952,5
1384,1987,4,10,2003,0.998471048,10
1393,1987,4,10,1990,0.607513515,12
1395,1987,4,10,1990,,12
1479,1987,4,10,1994,0.51011338,6
1480,1987,4,10,1994,0.677795593,6
1552,1987,4,10,2004,0.860825696,11
58,1987,5,10,2010,,24
130,1987,5,10,2010,0.46193303,19
158,1987,5,10,2010,,24
171,1987,5,10,2010,0.46193303,15
208,1987,5,10,2010,0.499382233,19
234,1987,5,10,2010,0.763185994,17
235,1987,5,10,2010,0.763185994,17
237,1987,5,10,2010,0.763185994,17
288,1987,5,10,2002,0.529038722,19
490,1987,5,10,1997,0.617280169,19
567,1987,5,10,1997,0.878471117,19
703,1987,5,10,2002,0.607049177,5
727,1987,5,10,1997,,3
824,1987,5,10,2002,0.585538222,10
825,1987,5,10,2002,0.585538222,8
930,1987,5,10,2015,0.768680416,14
693,1987,7,10,1988,0.677098926,5
928,1987,5,20,2015,0.768680416,13
1556,1987,5,20,2000,,6
407,1987,4,30,1999,1.08121718,10
409,1987,4,30,1999,1.08121718,9
700,1987,4,30,1991,0.677098926,11
701,1987,4,30,1991,0.677098926,10
492,1987,5,30,1997,0.617280169,10
694,1987,5,30,1994,0.677098926,17
765,1987,5,30,2012,0.58693197,3
929,1987,5,30,2015,0.768680416,12
1593,1987,5,30,2000,,7
5,1987,,10,1999,0.937143502,
13,1987,,10,2010,0.413819332,
22,1987,,10,2010,0.413819332,
23,1987,,10,2010,0.413819332,
25,1987,,10,2010,0.413819332,
26,1987,,10,2010,0.413819332,
28,1987,,10,2010,0.413819332,
29,1987,,10,2010,0.413819332,
38,1987,,10,2010,0.413819332,
61,1987,,10,2010,,
63,1987,,10,2010,,
64,1987,,10,2010,,
74,1987,,10,2010,,
75,1987,,10,2010,,
76,1987,,10,2010,,
77,1987,,10,2010,,
78,1987,,10,2010,,
239,1987,,10,2010,0.553358842,
240,1987,,10,2010,0.553358842,
245,1987,,10,2003,0.179254653,
250,1987,,10,2002,0.487413398,
253,1987,,10,2002,0.651584072,
261,1987,,10,2002,0.651584072,
262,1987,,10,2002,0.669872308,
263,1987,,10,2002,0.58468113,
265,1987,,10,2002,0.669020019,
266,1987,,10,2002,0.478370315,
