system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo
00000000000000000039,12.0,117.0,6.0,19.0,0.20048671960830688,2215.0,186.0,0.4927908325568522,59,66.0,14.961933108195208,302.6931232280267,-0.02455366056275693,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01265506255407,-32.7877165367749]}"
0000000000000000003a,12.0,117.0,6.0,19.0,0.20048671960830688,2215.0,186.0,0.4927908325568522,60,66.0,14.961933108195208,302.6931232280267,-0.02455366056275693,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01121031381277,-32.786427856570455]}"
000000000000000002d2,1.0,114.0,5.0,29.0,0.40707194805145264,102.0,74.0,0.7770709326065861,801,45.0,22.93051332416633,141.33546831371635,0.019768893092251827,2.0729166666666665,379.0,10,2010,12.0,223.86458333333334,384.4270833333333,0.12373379617929459,474.5625,288.2708333333333,46.625,"{""type"":""Point"",""coordinates"":[-77.61000280647171,-1.0700014296838194]}"
0000000000000000003c,12.0,118.0,7.0,15.0,0.21810898184776306,2361.0,203.0,0.5165065097588359,62,75.0,15.946637611976453,146.0465479417623,0.014836527862013948,831.6770833333334,290.0,10,2010,17.0,-148.21875,60.510416666666664,0.1630621999502182,466.3541666666667,235.23958333333334,100.66666666666667,"{""type"":""Point"",""coordinates"":[116.25319680978119,-31.918838401005704]}"
000000000000000000e1,5.0,84.0,25.0,15.0,0.0735483467578888,409.0,90.0,0.3397364356206858,246,46.0,18.3046116924396,357.0332516669099,0.033027503447507045,24.489583333333332,868.0,10,2006,6.0,41.229166666666664,59.635416666666664,2.8901708126068115,667.4270833333334,47.010416666666664,28.28125,"{""type"":""Point"",""coordinates"":[88.85053595570547,54.50066254687685]}"
00000000000000000179,6.0,82.0,39.0,13.0,0.03905976191163063,544.0,84.0,0.3851788923471963,410,53.0,,,-0.005237961273111602,47.041666666666664,,10,1999,8.0,-130.60416666666666,49.489583333333336,,748.0104166666666,56.65625,25.614583333333332,"{""type"":""Point"",""coordinates"":[44.16685192405291,62.98065987504438]}"
0000000000000000042d,4.0,144.0,4.0,13.0,0.07789714634418488,1384.0,193.0,,1219,29.0,15.98348431335379,90.0,,158.5,228.0,10,1978,5.0,76.375,97.41666666666667,0.5798399448394775,1425.8229166666667,203.84375,72.5625,"{""type"":""Point"",""coordinates"":[-90.95926713938529,36.88062283440865]}"
000000000000000004bc,6.0,87.0,24.0,12.0,0.4929085373878479,1054.0,103.0,0.5254707841532532,1393,54.0,,,0.11237710052180783,61.114583333333336,,10,1990,12.0,-4.041666666666667,52.125,,956.0208333333334,78.02083333333333,29.333333333333332,"{""type"":""Point"",""coordinates"":[25.778999601191845,61.033000339617125]}"
000000000000000004be,4.0,89.0,32.0,16.0,0.5462003946304321,1253.0,95.0,0.4574510697746108,1395,58.0,,,-0.12405380424497442,87.95833333333333,,10,1990,12.0,-15.572916666666666,53.083333333333336,,972.3541666666666,91.45833333333333,25.666666666666668,"{""type"":""Point"",""coordinates"":[21.851998617352614,60.530999202121244]}"
00000000000000000500,12.0,124.0,7.0,22.0,0.18900719285011292,1731.0,151.0,0.34143137983826705,1479,40.0,14.477396720248978,99.25289133864821,0.05196014033021967,507.96875,1289.0,10,1994,6.0,-172.94791666666666,41.84375,0.6609162092208862,75.97916666666667,154.5,63.4375,"{""type"":""Point"",""coordinates"":[-1.017000554562562,40.95000291488441]}"
00000000000000000501,12.0,113.0,8.0,23.0,0.1344102919101715,1398.0,115.0,0.44395084879875224,1480,40.0,15.888606106522941,46.67394302489222,-0.006430121614815598,281.28125,1771.0,10,1994,6.0,-239.92708333333334,54.104166666666664,1.1685242652893066,566.75,123.48958333333333,47.354166666666664,"{""type"":""Point"",""coordinates"":[-0.5330008080194393,40.416997647763914]}"
00000000000000000541,5.0,124.0,10.0,18.0,0.390424907207489,638.0,60.0,0.12355881527335315,1552,45.0,12.540467797226233,177.43127391337597,0.05480888938092521,33.104166666666664,1920.0,10,2004,11.0,-178.83333333333334,83.55208333333333,16.108901977539062,183.69791666666666,44.041666666666664,23.645833333333332,"{""type"":""Point"",""coordinates"":[7.867000247249265,46.321997890598055]}"
00000000000000000038,12.0,117.0,6.0,19.0,0.20048671960830688,2215.0,186.0,0.4927908325568522,58,66.0,14.961933108195208,302.6931232280267,-0.02455366056275693,638.6041666666666,263.0,10,2010,24.0,-216.59375,83.33333333333333,1.2697548866271973,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01934817323533,-32.797160912806106]}"
00000000000000000073,12.0,113.0,7.0,19.0,0.2767331004142761,2309.0,185.0,0.5978525032775451,130,63.0,14.237172447693021,221.84564632141615,0.02101029078266614,734.4791666666666,323.0,10,2010,19.0,-168.35416666666666,80.3125,0.8559058904647827,601.90625,227.89583333333334,92.25,"{""type"":""Point"",""coordinates"":[116.11767581056486,-32.227586557946296]}"
0000000000000000008c,12.0,114.0,7.0,17.0,0.2602582275867462,2324.0,185.0,0.5868794915509336,158,67.0,15.13262222302876,245.74174702578648,-6.833064074789341E-4,729.15625,313.0,10,2010,24.0,-175.13541666666666,83.52083333333333,0.5643547177314758,569.4895833333334,226.67708333333334,91.69791666666667,"{""type"":""Point"",""coordinates"":[116.10219827080834,-32.33701289779787]}"
00000000000000000098,12.0,116.0,6.0,14.0,0.19224315881729126,2357.0,198.0,0.5836690111076478,171,72.0,16.67335884427443,246.10119361508433,0.013778452952786568,795.7708333333334,345.0,10,2010,15.0,-138.48958333333334,66.11458333333333,0.2623262107372284,416.84375,229.79166666666666,96.63541666666667,"{""type"":""Point"",""coordinates"":[116.31055422663167,-32.20409155449569]}"
000000000000000000bb,12.0,112.0,7.0,14.0,0.19305434823036194,2336.0,190.0,0.5990933550294628,208,72.0,15.623395916132333,230.8002047166376,0.0015917993398696373,750.3958333333334,327.0,10,2010,19.0,-155.20833333333334,75.19791666666667,0.8559706211090088,458.5104166666667,226.53125,93.16666666666667,"{""type"":""Point"",""coordinates"":[116.21512946408791,-32.368012568321426]}"
000000000000000000d5,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,234,73.0,17.5214906359869,191.36222464975458,-0.006411730308149621,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.37695915951954,-32.510503142484275]}"
000000000000000000d6,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,235,73.0,17.5214906359869,191.36222464975458,-0.006411730308149621,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.37836377635139,-32.50442984684948]}"
000000000000000000d8,12.0,117.0,6.0,15.0,0.1206686720252037,2375.0,197.0,0.535561549455658,237,73.0,17.5214906359869,191.36222464975458,-0.006411730308149621,795.7604166666666,340.0,10,2010,17.0,-144.54166666666666,62.5625,0.5813955068588257,352.8958333333333,228.875,94.96875,"{""type"":""Point"",""coordinates"":[116.38414277131665,-32.51465456556504]}"
00000000000000000102,12.0,114.0,8.0,20.0,8.272457052953541E-4,1970.0,126.0,0.3402636768931923,288,66.0,14.2834898485744,242.72374575610263,-0.023000979880604837,718.5416666666666,241.0,10,2002,19.0,-69.16666666666667,36.291666666666664,1.6860519647598267,115.28125,203.80208333333334,68.48958333333333,"{""type"":""Point"",""coordinates"":[117.76149665931135,-34.39350125353551]}"
000000000000000001c6,5.0,126.0,8.0,20.0,0.11979249119758606,1927.0,137.0,0.43601119831055496,490,47.0,14.832121140498275,99.94796061214363,-0.02723627091366637,525.0729166666666,2564.0,10,1997,19.0,-118.75,41.510416666666664,1.6214115619659424,108.39583333333333,140.875,69.375,"{""type"":""Point"",""coordinates"":[-111.6270221580648,35.27058413524305]}"
00000000000000000212,5.0,128.0,8.0,23.0,0.027913793921470642,1915.0,150.0,0.506747959889489,567,38.0,17.148642242670782,306.7205824136766,0.0020906823718759293,559.09375,2250.0,10,1997,19.0,-132.52083333333334,47.15625,0.3070080876350403,175.79166666666666,153.42708333333334,75.98958333333333,"{""type"":""Point"",""coordinates"":[-111.30225691014022,34.46693372968366]}"
00000000000000000282,12.0,129.0,8.0,14.0,0.22848552465438843,1936.0,191.0,0.5043715196507361,703,64.0,12.091348110495694,257.439261491613,0.030667067134474035,849.9479166666666,1916.0,10,2002,5.0,-178.88541666666666,54.322916666666664,10.240632057189941,266.5,172.26041666666666,97.23958333333333,"{""type"":""Point"",""coordinates"":[-116.72763624366571,33.795076514859915]}"
00000000000000000296,1.0,43.0,56.0,29.0,0.14429473876953125,871.0,123.0,0.647240206545415,727,50.0,21.350293724982052,158.18733838185818,,65.86458333333333,26.0,10,1997,3.0,-22.677083333333332,209.22916666666666,0.05203210934996605,1056.9166666666667,317.65625,93.05208333333333,"{""type"":""Point"",""coordinates"":[114.16666749024647,-1.9166687831058025]}"
000000000000000002e9,12.0,136.0,5.0,19.0,0.24050797522068024,1835.0,194.0,0.563615108440472,825,56.0,12.963477391350596,230.19585084332994,0.058306380902760746,837.3229166666666,1044.0,10,2002,8.0,-156.0,42.28125,10.69498062133789,382.0729166666667,205.61458333333334,105.21875,"{""type"":""Point"",""coordinates"":[-116.90540276626238,33.33750140115952]}"
