NDII_mean,NDVI_mean,Ref_ID,Year,driver_class,esa_lc_2021,event_start,gfc_lossyear
,,59,1984,,10,2010,24
,,60,1984,,10,2010,24
,,801,1984,3,10,2010,12
,,62,1984,4,10,2010,17
,,246,1984,4,10,2006,6
0.4591166079044342,0.2061547338962555,408,1984,4,10,1999,10
0.5779281854629517,0.16622112691402435,410,1984,4,10,1999,8
0.15142159163951874,0.3561458885669708,1219,1984,4,10,1978,5
0.39798280596733093,0.39413949847221375,1384,1984,4,10,2003,10
0.3963550329208374,0.5553832650184631,1393,1984,4,10,1990,12
0.3811599910259247,0.4619758129119873,1395,1984,4,10,1990,12
0.25540319085121155,0.5526387691497803,1479,1984,4,10,1994,6
0.28494444489479065,0.5273097157478333,1480,1984,4,10,1994,6
0.2899358570575714,0.5454390645027161,1552,1984,4,10,2004,11
,,58,1984,5,10,2010,24
,,130,1984,5,10,2010,19
,,158,1984,5,10,2010,24
,,171,1984,5,10,2010,15
,,208,1984,5,10,2010,19
,,234,1984,5,10,2010,17
,,235,1984,5,10,2010,17
,,237,1984,5,10,2010,17
,,288,1984,5,10,2002,19
0.30275964736938477,0.576994002,490,1984,5,10,1997,19
0.15320424735546112,0.5332920551300049,567,1984,5,10,1997,19
0.36354148387908936,0.5209274888038635,703,1984,5,10,2002,5
,,727,1984,5,10,1997,3
0.3424986004829407,0.6661838889122009,824,1984,5,10,2002,10
0.40394553542137146,0.7170306444168091,825,1984,5,10,2002,8
0.27362698316574097,0.5387129187583923,930,1984,5,10,2015,14
0.45713239908218384,0.23765775561332703,693,1984,7,10,1988,5
0.10263953357934952,0.45361173152923584,928,1984,5,20,2015,13
0.092577986,0.45291993021965027,1556,1984,5,20,2000,6
0.4358336329460144,0.20570491254329681,407,1984,4,30,1999,10
0.5420978665351868,0.18343447148799896,409,1984,4,30,1999,9
0.39644673466682434,0.28698188066482544,700,1984,4,30,1991,11
0.4450255036354065,0.3640652000904083,701,1984,4,30,1991,10
0.1294519305229187,0.48536941409111023,492,1984,5,30,1997,10
0.4560377895832062,0.33480000495910645,694,1984,5,30,1994,17
0.29952970147132874,0.4236886501312256,765,1984,5,30,2012,3
-0.126927659,0.31028619408607483,929,1984,5,30,2015,12
0.2832539975643158,0.44990646839141846,1593,1984,5,30,2000,7
0.3861914277076721,0.7716953754425049,5,1984,,10,1999,
,,13,1984,,10,2010,
