Ref_ID,Year,driver_class,esa_lc_2021,event_start,VOD_L-Band,gfc_lossyear
59,2010,,10,2010,0.1846473593240755,24
60,2010,,10,2010,0.1846473593240755,24
801,2010,3,10,2010,0.5369815586898141,12
62,2010,4,10,2010,0.17730637020564108,17
246,2010,4,10,2006,0.3799088052957376,6
408,2010,4,10,1999,0.37863543642965664,10
410,2010,4,10,1999,0.37863543642965664,8
1219,2010,4,10,1978,0.337796361,5
1384,2010,4,10,2003,0.25347858405761126,10
1393,2010,4,10,1990,0.21781293260344917,12
1395,2010,4,10,1990,,12
1479,2010,4,10,1994,0.13428392682781404,6
1480,2010,4,10,1994,0.25146821840766354,6
1552,2010,4,10,2004,0.4008939593031128,11
58,2010,5,10,2010,0.19147951139566136,24
130,2010,5,10,2010,0.17730637020564108,19
158,2010,5,10,2010,,24
171,2010,5,10,2010,0.17730637020564108,15
208,2010,5,10,2010,0.19733519547389672,19
234,2010,5,10,2010,0.19370149105740314,17
235,2010,5,10,2010,0.19370149105740314,17
237,2010,5,10,2010,0.19370149105740314,17
288,2010,5,10,2002,0.13279936653318158,19
490,2010,5,10,1997,0.15301899050133064,19
567,2010,5,10,1997,0.28829326309900744,19
703,2010,5,10,2002,0.1721501324184082,5
727,2010,5,10,1997,0.37164677567376064,3
824,2010,5,10,2002,0.19496295568304145,10
825,2010,5,10,2002,0.19496295568304145,8
930,2010,5,10,2015,0.20519370243422114,14
693,2010,7,10,1988,0.22315034200214917,5
928,2010,5,20,2015,0.20519370243422114,13
1556,2010,5,20,2000,,6
407,2010,4,30,1999,0.37863543642965664,10
409,2010,4,30,1999,0.37863543642965664,9
700,2010,4,30,1991,0.22315034200214917,11
701,2010,4,30,1991,0.22315034200214917,10
492,2010,5,30,1997,0.15301899050133064,10
694,2010,5,30,1994,0.22315034200214917,17
765,2010,5,30,2012,0.1785650282954006,3
929,2010,5,30,2015,0.20519370243422114,12
1593,2010,5,30,2000,,7
5,2010,,10,1999,0.3141632685438456,
13,2010,,10,2010,0.2192592203571609,
22,2010,,10,2010,0.2192592203571609,
23,2010,,10,2010,0.2192592203571609,
25,2010,,10,2010,0.2192592203571609,
26,2010,,10,2010,0.2192592203571609,
28,2010,,10,2010,0.2192592203571609,
29,2010,,10,2010,0.2192592203571609,
38,2010,,10,2010,0.2192592203571609,
61,2010,,10,2010,0.1846473593240755,
63,2010,,10,2010,0.1846473593240755,
64,2010,,10,2010,0.1846473593240755,
74,2010,,10,2010,0.1846473593240755,
75,2010,,10,2010,0.1846473593240755,
76,2010,,10,2010,0.1846473593240755,
77,2010,,10,2010,0.1846473593240755,
78,2010,,10,2010,0.1846473593240755,
239,2010,,10,2010,0.19651521540664843,
240,2010,,10,2010,0.19651521540664843,
245,2010,,10,2003,0.066766521,
250,2010,,10,2002,0.076553248,
